ParticipantID,Time Proportion,Frequency,Cluster No
16ky11oz,152.43198,0.62727,0
1inrrtl3,257.67419,0.28571,1
1o52ntll,114.95767,0.16393,0
1rroql96,150.43574,0.36052,0
23pupbua,172.85827,0.93214,0
2agrmb9j,0.9347,0.01941,0
2ys1mtz4,19.2384,0.29185,0
5fnn617w,63.83625,0.16279,0
5y1tpee8,280.16183,1.19337,1
7jjv4pei,98.46915,0.762,0
7l4pv8bf,78.13469,0.18505,0
9d7ophe4,187.258,0.38182,0
bjix62jd,221.58299,0.07418,0
bqu752bx,341.013,0.71951,1
c5qbpnue,822.90246,1.16667,1
cex9tpjq,254.77746,0.75,1
cjhvlipu,10.09831,0.0625,0
d2mtvihs,86.18653,0.49123,0
d7gcjmit,137.86715,0.49779,0
e58idwax,45.91109,0.08696,0
fu2ofh8b,0.0,0.0,0
fwowc4r9,119.10806,0.48418,0
hoeftdw5,379.81443,0.87814,1
jvyctuat,386.14343,0.82143,1
k66z4nfv,7.96372,0.24138,0
kzes28mw,4.41301,0.03175,0
l4lycy4a,224.86304,1.23779,0
l7tsmmge,49.22859,0.33436,0
lpg9axpp,114.42645,0.93811,0
lx3vdgbn,190.0382,0.6259,0
mguewihd,71.72813,0.16279,0
nb2gakhp,210.69546,0.75,0
ry9whk1i,79.49975,0.25677,0
uynoyz3s,156.4981,0.43284,0
vawn7ykh,44.52085,0.4125,0
w4h8wmub,101.72389,0.9798,0
